Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Neighborhood,Longitude,Location,citydst
1000 E 38th St,Chattanooga,TN,37407,10/30/2017 12:00,TN0330100,B7,Baker S,23F,Theft From Motor Vehicle,Part 1 Crimes,17-106251,3,Pending/Possible Leads,35.003793,Clifton Hills,-85.301892,POINT (-85.301892 35.003793),8
3800 Woodbrook Dr,Chattanooga,TN,37406,10/30/2017 12:42,TN0330100,C1,Charlie S,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,17-105943,3,Pending/Possible Leads,35.052358,North Brainerd,-85.225291,POINT (-85.225291 35.052358),5
3500 Cummings Hwy,Chattanooga,TN,37419,10/30/2017 12:45,TN0330100,A13,Adam S,23C,Shoplifting,Part 1 Crimes,17-105942,2,Cleared by Arrest,35.016484,,-85.377425,POINT (-85.377425 35.016484),1
3500 Cummings Hwy,Chattanooga,TN,37419,10/30/2017 12:45,TN0330100,A13,Adam S,90J,Trespass Of Real Property,Part 2 Crimes,17-105942,2,Cleared by Arrest,35.015031,,-85.376984,POINT (-85.376984 35.015031),1
3700 Alton Park Blvd,Chattanooga,TN,37410,10/30/2017 12:59,TN0330100,A11,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,17-105948,3,Pending/Possible Leads,35.009873,,-85.317165,POINT (-85.317165 35.009873),7
2000 Gunbarrel Rd,Chattanooga,TN,37421,10/30/2017 13:20,TN0330100,C7,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,17-105984,3,Pending/Possible Leads,35.034381,,-85.150981,POINT (-85.150981 35.034381),4
2200 Hamilton Place Blvd,Chattanooga,TN,37421,10/30/2017 14:00,TN0330100,C7,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,17-106282,3,Pending/Possible Leads,35.040188,,-85.155472,POINT (-85.155472 35.040188),4
900 James Ave,Chattanooga,TN,37421,10/30/2017 14:04,TN0330100,C8,Charlie N,26C,Impersonation,Part 1 Crimes,17-105980,3,Pending/Possible Leads,34.998474,,-85.151828,POINT (-85.151828 34.998474),4
5900 Highway 153,Chattanooga,TN,37343,10/30/2017 15:00,TN0330100,A1,Adam N,23C,Shoplifting,Part 1 Crimes,17-106003,3,Pending/Possible Leads,35.165843,,-85.250052,POINT (-85.250052 35.165843),3
5400 Highway 153,Chattanooga,TN,37343,10/30/2017 15:50,TN0330100,A1,Adam N,23C,Shoplifting,Part 1 Crimes,17-106041,3,Pending/Possible Leads,35.137146,,-85.246548,POINT (-85.246548 35.137146),3
7600 Standifer Gap Rd,Chattanooga,TN,37421,10/30/2017 16:30,TN0330100,C9,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,17-106023,2,Cleared by Arrest,35.051156,,-85.133847,POINT (-85.133847 35.051156),4
5600 Orchid Ln,Chattanooga,TN,37409,10/30/2017 17:13,TN0330100,A12,Adam S,220,Burglary/Breaking And Entering,Part 1 Crimes,17-106035,3,Pending/Possible Leads,34.986057,St. Elmo,-85.334728,POINT (-85.334728 34.986057),7
2100 Hamilton Place Blvd,Chattanooga,TN,37421,10/30/2017 18:15,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,17-106071,3,Pending/Possible Leads,35.03537,,-85.158377,POINT (-85.158377 35.03537),4
6100 Highway 153,Chattanooga,TN,37343,10/30/2017 19:00,TN0330100,A1,Adam N,220,Burglary/Breaking And Entering,Part 1 Crimes,17-106237,3,Pending/Possible Leads,35.171882,,-85.246386,POINT (-85.246386 35.171882),1
400 Greenway View Dr,Chattanooga,TN,37411,10/30/2017 19:00,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,17-106079,2,Cleared by Arrest,35.009219,,-85.206136,POINT (-85.206136 35.009219),6
1400 N Chamberlin Ave,Chattanooga,TN,37406,10/30/2017 19:40,TN0330100,B3,Baker N,100,Kidnapping/Abduction,Part 1 Crimes,17-106101,3,Pending/Possible Leads,35.057013,,-85.271638,POINT (-85.271638 35.057013),8
5900 Brainerd Rd,Chattanooga,TN,37421,10/30/2017 20:00,TN0330100,C4,Charlie S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-106099,3,Pending/Possible Leads,35.014766,,-85.209962,POINT (-85.209962 35.014766),6
3800 Youngstown Rd,Chattanooga,TN,37406,10/30/2017 21:20,TN0330100,C5,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,17-106112,3,Pending/Possible Leads,35.076158,,-85.218645,POINT (-85.218645 35.076158),5
1600 Union Ave,Chattanooga,TN,37404,10/30/2017 21:53,TN0330100,B5,Baker S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-106119,2,Cleared by Arrest,35.033653,Highland Park,-85.279428,POINT (-85.279428 35.033653),9
2200 Bailey Ave,Chattanooga,TN,37404,10/30/2017 22:30,TN0330100,B5,Baker S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-106136,3,Pending/Possible Leads,35.031318,Ridgedale,-85.27164,POINT (-85.27164 35.031318),9
4700 Bonny Oaks Dr,Chattanooga,TN,37416,10/30/2017 23:35,TN0330100,C5,Charlie N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-106126,3,Pending/Possible Leads,35.076705,Lake Hills,-85.194561,POINT (-85.194561 35.076705),5
1800 Bailey Ave,Chattanooga,TN,37404,10/30/2017 23:47,TN0330100,B5,Baker S,26C,Impersonation,Part 1 Crimes,17-106149,2,Cleared by Arrest,35.033963,Highland Park,-85.277019,POINT (-85.277019 35.033963),9
2400 Glass St,Chattanooga,TN,37406,10/31/2017 0:00,TN0330100,B2,Baker N,220,Burglary/Breaking And Entering,Part 1 Crimes,17-106364,3,Pending/Possible Leads,35.064069,Glass Farms,-85.251976,POINT (-85.251976 35.064069),9
400 Dodson Ave,Chattanooga,TN,37404,10/31/2017 1:00,TN0330100,B4,Baker N,23F,Theft From Motor Vehicle,Part 1 Crimes,17-106329,3,Pending/Possible Leads,35.040518,Glenwood,-85.26542,POINT (-85.26542 35.040518),8
400 Dodson Ave,Chattanooga,TN,37404,10/31/2017 1:00,TN0330100,B4,Baker N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-106329,3,Pending/Possible Leads,35.04014,Churchville,-85.266566,POINT (-85.266566 35.04014),8
4000 S Access Rd,Chattanooga,TN,37406,10/31/2017 2:30,TN0330100,B1,Baker N,13C,Intimidation,Part 1 Crimes,17-106317,3,Pending/Possible Leads,35.081513,,-85.214492,POINT (-85.214492 35.081513),5
700 E 48th St,Chattanooga,TN,37410,10/31/2017 7:15,TN0330100,A12,Adam S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-106196,3,Pending/Possible Leads,34.993185,Alton Park/ Piney Woods,-85.306813,POINT (-85.306813 34.993185),7
1300 Roanoke Ave,Chattanooga,TN,37406,10/31/2017 8:00,TN0330100,B3,Baker N,220,Burglary/Breaking And Entering,Part 1 Crimes,17-106339,3,Pending/Possible Leads,35.052431,Avondale,-85.263159,POINT (-85.263159 35.052431),8
4600 Locksley Ln,Chattanooga,TN,37416,10/31/2017 8:47,TN0330100,C5,Charlie N,220,Burglary/Breaking And Entering,Part 1 Crimes,17-106221,3,Pending/Possible Leads,35.088027,Murray Hills,-85.200672,POINT (-85.200672 35.088027),3
3400 4th Ave,Chattanooga,TN,37407,10/31/2017 9:00,TN0330100,B8,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,17-106589,3,Pending/Possible Leads,35.003782,East Lake,-85.287458,POINT (-85.287458 35.003782),7
1200 Grove St,Chattanooga,TN,37402,10/31/2017 9:35,TN0330100,A6,Adam S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-106235,3,Pending/Possible Leads,35.044766,,-85.318915,POINT (-85.318915 35.044766),7
3100 Dodson Ave,Chattanooga,TN,37406,10/31/2017 10:25,TN0330100,B1,Baker N,23C,Shoplifting,Part 1 Crimes,17-106250,3,Pending/Possible Leads,35.073281,Boyce Station,-85.250636,POINT (-85.250636 35.073281),8
2300 Shallowford Village Dr,Chattanooga,TN,37421,10/31/2017 10:30,TN0330100,C9,Charlie N,23D,Theft From Buildings,Part 1 Crimes,17-106271,3,Pending/Possible Leads,35.044418,,-85.155712,POINT (-85.155712 35.044418),6
3200 Wilcox Blvd,Chattanooga,TN,37411,10/31/2017 10:38,TN0330100,C1,Charlie S,120,Robbery,Part 1 Crimes,17-106252,3,Pending/Possible Leads,35.048053,,-85.242897,POINT (-85.242897 35.048053),5
800 Mississippi Ave,Chattanooga,TN,37405,10/31/2017 11:29,TN0330100,A4,Adam N,23F,Theft From Motor Vehicle,Part 1 Crimes,17-106266,3,Pending/Possible Leads,35.071323,,-85.296329,POINT (-85.296329 35.071323),2
5200 Brainerd Rd,Chattanooga,TN,37411,10/31/2017 12:00,TN0330100,C3,Charlie S,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,18-022032,3,Pending/Possible Leads,35.01112,Brainerd Park,-85.223126,POINT (-85.223126 35.01112),5
5600 Highway 153,Chattanooga,TN,37343,10/31/2017 12:00,TN0330100,A1,Adam N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,17-106316,3,Pending/Possible Leads,35.149645,,-85.248998,POINT (-85.248998 35.149645),3
300 W Main St,Chattanooga,TN,37402,10/31/2017 12:00,TN0330100,A9,Adam S,23D,Theft From Buildings,Part 1 Crimes,17-106298,3,Pending/Possible Leads,35.036826,SS Cowart,-85.309777,POINT (-85.309777 35.036826),7
1600 S Hawthorne St,Chattanooga,TN,37404,10/31/2017 12:09,TN0330100,B6,Baker S,120,Robbery,Part 1 Crimes,17-106283,3,Pending/Possible Leads,35.026605,Ferger Place,-85.283305,POINT (-85.283305 35.026605),8
5100 Hixson Pike,Chattanooga,TN,37343,10/31/2017 12:30,TN0330100,A1,Adam N,250,Forgery/Counterfeiting,Part 1 Crimes,17-115111,3,Pending/Possible Leads,35.135955,,-85.239814,POINT (-85.239814 35.135955),3
4700 Hixson Pike,Chattanooga,TN,37343,10/31/2017 12:54,TN0330100,A3,Adam N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,17-106337,3,Pending/Possible Leads,35.124704,,-85.246644,POINT (-85.246644 35.124704),3
1700 Parkway Dr,Chattanooga,TN,37406,10/31/2017 13:00,TN0330100,C1,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,17-106388,3,Pending/Possible Leads,35.047934,North Brainerd,-85.234086,POINT (-85.234086 35.047934),5
5600 Highway 153,Chattanooga,TN,37343,10/31/2017 13:00,TN0330100,A1,Adam N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,17-106327,3,Pending/Possible Leads,35.149614,,-85.248898,POINT (-85.248898 35.149614),3
1800 Gunbarrel Rd,Chattanooga,TN,37421,10/31/2017 13:25,TN0330100,C8,Charlie N,250,Forgery/Counterfeiting,Part 1 Crimes,17-106312,3,Pending/Possible Leads,35.026084,,-85.157388,POINT (-85.157388 35.026084),4
5200 Woodland View Cir,Chattanooga,TN,37410,10/31/2017 13:30,TN0330100,A12,Adam S,220,Burglary/Breaking And Entering,Part 1 Crimes,17-106335,3,Pending/Possible Leads,34.990873,Alton Park/ Piney Woods,-85.302821,POINT (-85.302821 34.990873),7
6800 Shallowford Rd,Chattanooga,TN,37421,10/31/2017 13:35,TN0330100,C9,Charlie N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,17-109247,3,Pending/Possible Leads,35.045852,,-85.163756,POINT (-85.163756 35.045852),6
2000 Gunbarrel Rd,Chattanooga,TN,37421,10/31/2017 13:45,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,17-106315,3,Pending/Possible Leads,35.030609,,-85.152523,POINT (-85.152523 35.030609),4
1800 Dana Ln,Chattanooga,TN,37407,10/31/2017 14:30,TN0330100,A3,Adam N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-106655,3,Pending/Possible Leads,35.1286239,,-85.265892,POINT (-85.265892 35.1286239),2
4400 Oakwood Dr,Chattanooga,TN,37416,10/31/2017 15:22,TN0330100,C5,Charlie N,26C,Impersonation,Part 1 Crimes,17-106354,3,Pending/Possible Leads,35.089114,,-85.182333,POINT (-85.182333 35.089114),5
2100 Cleveland Ave,Chattanooga,TN,37404,10/31/2017 16:00,TN0330100,B4,Baker N,23F,Theft From Motor Vehicle,Part 1 Crimes,17-106365,3,Pending/Possible Leads,35.042007,Churchville,-85.268724,POINT (-85.268724 35.042007),8
2200 Hamilton Place Blvd,Chattanooga,TN,37421,10/31/2017 16:00,TN0330100,C7,Charlie N,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,17-106358,3,Pending/Possible Leads,35.039468,,-85.155247,POINT (-85.155247 35.039468),4
3900 Hixson Pike,Chattanooga,TN,37415,10/31/2017 17:00,TN0330100,A3,Adam N,23C,Shoplifting,Part 1 Crimes,17-106396,3,Pending/Possible Leads,35.112642,Fairfax/ Bagwell,-85.260508,POINT (-85.260508 35.112642),2
1400 Jenkins Rd,Chattanooga,TN,37421,10/31/2017 17:20,TN0330100,C8,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,17-106391,3,Pending/Possible Leads,35.008257,,-85.15038,POINT (-85.15038 35.008257),4
7300 Standifer Gap Rd,Chattanooga,TN,37421,10/31/2017 17:55,TN0330100,C9,Charlie N,250,Forgery/Counterfeiting,Part 1 Crimes,17-107614,3,Pending/Possible Leads,35.051282,,-85.148762,POINT (-85.148762 35.051282),6
7600 E Brainerd Rd,Chattanooga,TN,37421,10/31/2017 18:00,TN0330100,C8,Charlie N,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,17-106978,3,Pending/Possible Leads,35.013452,,-85.158765,POINT (-85.158765 35.013452),4
400 Workman Rd,Chattanooga,TN,37410,10/31/2017 18:07,TN0330100,A12,Adam S,220,Burglary/Breaking And Entering,Part 1 Crimes,17-106404,2,Cleared by Arrest,34.997223,,-85.309947,POINT (-85.309947 34.997223),7
4500 Hixson Pike,Chattanooga,TN,37343,10/31/2017 22:00,TN0330100,A3,Adam N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-106454,3,Pending/Possible Leads,35.120661,,-85.245277,POINT (-85.245277 35.120661),3
700 Cherokee Blvd,Chattanooga,TN,37405,10/31/2017 22:00,TN0330100,A4,Adam N,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,17-107323,3,Pending/Possible Leads,35.06961,,-85.319102,POINT (-85.319102 35.06961),1
3600 Dorris St,Chattanooga,TN,37410,10/31/2017 22:05,TN0330100,A11,Adam S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-106442,3,Pending/Possible Leads,35.006833,,-85.308954,POINT (-85.308954 35.006833),7
1200 Cypress Street Ct,Chattanooga,TN,37402,10/31/2017 22:34,TN0330100,A6,Adam S,90J,Trespass Of Real Property,Part 2 Crimes,17-106455,2,Cleared by Arrest,35.043273,,-85.316513,POINT (-85.316513 35.043273),7
2800 Eblen Dr,Chattanooga,TN,37421,11/1/2017 0:00,TN0330100,C9,Charlie N,23D,Theft From Buildings,Part 1 Crimes,18-049864,3,Pending/Possible Leads,35.063005,,-85.156992,POINT (-85.156992 35.063005),6
2200 Wilcox Blvd,Chattanooga,TN,37406,11/1/2017 0:20,TN0330100,B2,Baker N,90J,Trespass Of Real Property,Part 2 Crimes,17-106585,2,Cleared by Arrest,35.053653,Avondale,-85.260646,POINT (-85.260646 35.053653),8
5500 Belaire Dr,Chattanooga,TN,37411,11/1/2017 3:40,TN0330100,C3,Charlie S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-106499,3,Pending/Possible Leads,35.010769,Brainerd Park,-85.219127,POINT (-85.219127 35.010769),5
1300 Market St,Chattanooga,TN,37408,11/1/2017 5:30,TN0330100,A9,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,17-106686,3,Pending/Possible Leads,35.03741,SS Cowart,-85.307538,POINT (-85.307538 35.03741),7
2100 Cleveland Ave,Chattanooga,TN,37404,11/1/2017 7:00,TN0330100,B4,Baker N,13C,Intimidation,Part 1 Crimes,17-107889,3,Pending/Possible Leads,35.04125,Churchville,-85.268434,POINT (-85.268434 35.04125),8
1900 Daylong Pl,Chattanooga,TN,37421,11/1/2017 8:00,TN0330100,C4,Charlie S,23F,Theft From Motor Vehicle,Part 1 Crimes,17-110012,3,Pending/Possible Leads,35.038042,Shepherd,-85.185246,POINT (-85.185246 35.038042),6
7700 Lee Hwy,Chattanooga,TN,37421,11/1/2017 8:40,TN0330100,C9,Charlie N,23C,Shoplifting,Part 1 Crimes,17-106536,3,Pending/Possible Leads,35.061911,,-85.134819,POINT (-85.134819 35.061911),6
5900 Brainerd Rd,Chattanooga,TN,37421,11/1/2017 8:42,TN0330100,C4,Charlie S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-106518,3,Pending/Possible Leads,35.0155,,-85.207627,POINT (-85.207627 35.0155),6
2900 Lightfoot Mill Rd,Chattanooga,TN,37406,11/1/2017 10:00,TN0330100,B1,Baker N,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,17-111094,3,Pending/Possible Leads,35.065727,,-85.238939,POINT (-85.238939 35.065727),5
3500 Cummings Hwy,Chattanooga,TN,37419,11/1/2017 10:30,TN0330100,A13,Adam S,250,Forgery/Counterfeiting,Part 1 Crimes,17-106559,3,Pending/Possible Leads,35.017427,,-85.372927,POINT (-85.372927 35.017427),1
8100 E Brainerd Rd,Chattanooga,TN,37421,11/1/2017 10:35,TN0330100,C8,Charlie N,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,18-047405,3,Pending/Possible Leads,35.003914,,-85.146754,POINT (-85.146754 35.003914),4
600 Hamilton Ave,Chattanooga,TN,37405,11/1/2017 12:01,TN0330100,A4,Adam N,23F,Theft From Motor Vehicle,Part 1 Crimes,17-106599,3,Pending/Possible Leads,35.070056,Northside/Cherokee,-85.308075,POINT (-85.308075 35.070056),2
1600 E 23rd St,Chattanooga,TN,37404,11/1/2017 12:17,TN0330100,B6,Baker S,23D,Theft From Buildings,Part 1 Crimes,17-106573,3,Pending/Possible Leads,35.020618,,-85.289568,POINT (-85.289568 35.020618),8
5700 Highway 153,Chattanooga,TN,37343,11/1/2017 12:22,TN0330100,A1,Adam N,23C,Shoplifting,Part 1 Crimes,17-106581,3,Pending/Possible Leads,35.153681,,-85.245213,POINT (-85.245213 35.153681),3
5400 Highway 153,Chattanooga,TN,37343,11/1/2017 12:40,TN0330100,A1,Adam N,23C,Shoplifting,Part 1 Crimes,17-106596,3,Pending/Possible Leads,35.136781,,-85.245859,POINT (-85.245859 35.136781),3
100 Northgate Mall Dr,Chattanooga,TN,37415,11/1/2017 13:00,TN0330100,A2,Adam N,23D,Theft From Buildings,Part 1 Crimes,17-106844,3,Pending/Possible Leads,35.131225,,-85.241261,POINT (-85.241261 35.131225),3
400 N Market St,Chattanooga,TN,37405,11/1/2017 14:46,TN0330100,A4,Adam N,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-106646,3,Pending/Possible Leads,35.064979,Northside/Cherokee,-85.307375,POINT (-85.307375 35.064979),2
100 Northgate Mall Dr,Chattanooga,TN,37415,11/1/2017 14:55,TN0330100,A2,Adam N,23C,Shoplifting,Part 1 Crimes,17-106627,3,Pending/Possible Leads,35.131431,,-85.239162,POINT (-85.239162 35.131431),3
5700 Highway 153,Chattanooga,TN,37343,11/1/2017 16:30,TN0330100,A1,Adam N,23C,Shoplifting,Part 1 Crimes,17-106656,3,Pending/Possible Leads,35.152627,,-85.245278,POINT (-85.245278 35.152627),3
300 Northgate Mall Dr,Chattanooga,TN,37415,11/1/2017 19:30,TN0330100,A2,Adam N,23C,Shoplifting,Part 1 Crimes,17-106701,3,Pending/Possible Leads,35.129685,,-85.240005,POINT (-85.240005 35.129685),3
3200 Parker Ln,Chattanooga,TN,37419,11/1/2017 19:38,TN0330100,A13,Adam S,90J,Trespass Of Real Property,Part 2 Crimes,17-106703,3,Pending/Possible Leads,35.026899,Lookout Valley,-85.368666,POINT (-85.368666 35.026899),1
3700 Modern Industries Pkwy,Chattanooga,TN,37419,11/1/2017 22:00,TN0330100,A13,Adam S,250,Forgery/Counterfeiting,Part 1 Crimes,17-106734,3,Pending/Possible Leads,35.015599,,-85.384793,POINT (-85.384793 35.015599),1
1300 Reserve Way,Chattanooga,TN,37421,11/1/2017 22:25,TN0330100,C8,Charlie N,23D,Theft From Buildings,Part 1 Crimes,17-106742,3,Pending/Possible Leads,35.00692,,-85.159445,POINT (-85.159445 35.00692),4
2500 Broad St,Chattanooga,TN,37408,11/2/2017 0:03,TN0330100,A10,Adam S,120,Robbery,Part 1 Crimes,17-106721,3,Pending/Possible Leads,35.028192,,-85.316984,POINT (-85.316984 35.028192),7
3200 Rossville Blvd,Chattanooga,TN,37407,11/2/2017 0:40,TN0330100,B7,Baker S,23D,Theft From Buildings,Part 1 Crimes,17-106823,3,Pending/Possible Leads,35.006502,Clifton Hills,-85.293688,POINT (-85.293688 35.006502),7
400 N Crest Rd,Chattanooga,TN,37404,11/2/2017 7:30,TN0330100,C1,Charlie S,23D,Theft From Buildings,Part 1 Crimes,17-107179,3,Pending/Possible Leads,35.053843,Missionary Rdge,-85.247953,POINT (-85.247953 35.053843),9
5400 Jackson St,Chattanooga,TN,37415,11/2/2017 7:30,TN0330100,A1,Adam N,220,Burglary/Breaking And Entering,Part 1 Crimes,17-106936,3,Pending/Possible Leads,35.149356,,-85.270869,POINT (-85.270869 35.149356),1
2700 Citico Ave,Chattanooga,TN,37406,11/2/2017 8:00,TN0330100,B3,Baker N,23F,Theft From Motor Vehicle,Part 1 Crimes,17-106953,3,Pending/Possible Leads,35.042407,Glenwood,-85.256979,POINT (-85.256979 35.042407),9
5200 Brainerd Rd,Chattanooga,TN,37411,11/2/2017 8:00,TN0330100,C3,Charlie S,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,18-020436,3,Pending/Possible Leads,35.012146,Brainerd Park,-85.223161,POINT (-85.223161 35.012146),5
1200 E 3rd St,Chattanooga,TN,37404,11/2/2017 9:00,TN0330100,B4,Baker N,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,17-109318,3,Pending/Possible Leads,35.044083,Bushtown,-85.279682,POINT (-85.279682 35.044083),8
5200 Hixson Pike,Chattanooga,TN,37343,11/2/2017 9:00,TN0330100,A2,Adam N,23D,Theft From Buildings,Part 1 Crimes,17-106976,3,Pending/Possible Leads,35.138048,,-85.234972,POINT (-85.234972 35.138048),3
600 Midland Pike,Chattanooga,TN,37411,11/2/2017 9:20,TN0330100,C2,Charlie S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-106846,3,Pending/Possible Leads,35.031651,,-85.238187,POINT (-85.238187 35.031651),9
1600 Summerwood Trl,Chattanooga,TN,37343,11/2/2017 10:00,TN0330100,A1,Adam N,250,Forgery/Counterfeiting,Part 1 Crimes,17-107074,3,Pending/Possible Leads,35.171239,,-85.202769,POINT (-85.202769 35.171239),3
4800 Basswood Dr,Chattanooga,TN,37416,11/2/2017 11:00,TN0330100,C5,Charlie N,23F,Theft From Motor Vehicle,Part 1 Crimes,17-107361,3,Pending/Possible Leads,35.08481,,-85.166608,POINT (-85.166608 35.08481),6
100 Hollyberry Ln,Chattanooga,TN,37411,11/2/2017 13:00,TN0330100,C2,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,17-107007,3,Pending/Possible Leads,35.02067,21st Century,-85.236392,POINT (-85.236392 35.02067),5
400 Greenway View Dr,Chattanooga,TN,37411,11/2/2017 13:01,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,17-107427,2,Cleared by Arrest,35.008714,,-85.205929,POINT (-85.205929 35.008714),6
1000 Combs Trl,Chattanooga,TN,37405,11/2/2017 14:00,TN0330100,A5,Adam N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,17-108223,3,Pending/Possible Leads,35.109136,,-85.329199,POINT (-85.329199 35.109136),1
1500 E 41st St,Chattanooga,TN,37407,11/2/2017 14:40,TN0330100,B9,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,17-106933,3,Pending/Possible Leads,34.995875,,-85.291941,POINT (-85.291941 34.995875),7
3800 Rollingwood Dr,Chattanooga,TN,37406,11/2/2017 15:00,TN0330100,C1,Charlie S,220,Burglary/Breaking And Entering,Part 1 Crimes,17-108291,3,Pending/Possible Leads,35.0527,North Brainerd,-85.225758,POINT (-85.225758 35.0527),5
2100 Hamilton Place Blvd,Chattanooga,TN,37421,11/2/2017 17:00,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,17-106989,3,Pending/Possible Leads,35.033927,,-85.158304,POINT (-85.158304 35.033927),4
700 E 11th St,Chattanooga,TN,37403,11/2/2017 19:14,TN0330100,A9,Adam S,120,Robbery,Part 1 Crimes,17-107016,3,Pending/Possible Leads,35.040246,,-85.300546,POINT (-85.300546 35.040246),8
5900 Northwoods Dr,Chattanooga,TN,37343,11/2/2017 21:10,TN0330100,A1,Adam N,23F,Theft From Motor Vehicle,Part 1 Crimes,17-107198,3,Pending/Possible Leads,35.154488,,-85.254546,POINT (-85.254546 35.154488),3
4400 Rossville Blvd,Chattanooga,TN,37407,11/2/2017 22:00,TN0330100,B9,Baker S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,17-107284,3,Pending/Possible Leads,34.991712,,-85.291456,POINT (-85.291456 34.991712),7
1800 Auburndale Ave,Chattanooga,TN,37405,11/3/2017 0:01,TN0330100,A4,Adam N,23F,Theft From Motor Vehicle,Part 1 Crimes,17-107155,3,Pending/Possible Leads,35.084042,,-85.299016,POINT (-85.299016 35.084042),2
